Crm Cd Desc,CRIMEBIN
ARSON,VANDALISM
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,VIOLENT
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",VIOLENT
ATTEMPTED ROBBERY,ROBBERY
BATTERY - SIMPLE ASSAULT,VIOLENT
BATTERY ON A FIREFIGHTER,VIOLENT
BATTERY POLICE (SIMPLE),VIOLENT
BATTERY WITH SEXUAL CONTACT,SEX
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",SEX
BIGAMY,OTHER
BIKE - ATTEMPTED STOLEN,theft
BIKE - STOLEN,theft
BLOCKING DOOR INDUCTION CENTER,OTHER
BOAT - STOLEN,theft
BOMB SCARE,VIOLENT
BRANDISH WEAPON,VIOLENT
BRIBERY,fraud
"BUNCO, ATTEMPT",theft
"BUNCO, GRAND THEFT",theft
"BUNCO, PETTY THEFT",theft
BURGLARY,BURGLARY
BURGLARY FROM VEHICLE,BURGLARY
"BURGLARY FROM VEHICLE, ATTEMPTED",BURGLARY
"BURGLARY, ATTEMPTED",BURGLARY
CHILD ABANDONMENT,CHILD
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,CHILD
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,CHILD
CHILD ANNOYING (17YRS & UNDER),CHILD
CHILD NEGLECT (SEE 300 W.I.C.),CHILD
CHILD PORNOGRAPHY,CHILD
CHILD STEALING,CHILD
CONSPIRACY,OTHER
CONTEMPT OF COURT,OTHER
CONTRIBUTING,OTHER
COUNTERFEIT,fraud
"CREDIT CARDS, FRAUD USE ($950 & UNDER)",fraud
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",fraud
CRIMINAL HOMICIDE,Homicide
CRIMINAL THREATS - NO WEAPON DISPLAYED,VIOLENT
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CHILD
CRUELTY TO ANIMALS,OTHER
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",fraud
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",fraud
DISCHARGE FIREARMS/SHOTS FIRED,VIOLENT
DISHONEST EMPLOYEE - GRAND THEFT,theft
DISHONEST EMPLOYEE - PETTY THEFT,theft
DISHONEST EMPLOYEE ATTEMPTED THEFT,theft
DISRUPT SCHOOL,OTHER
DISTURBING THE PEACE,OTHER
DOCUMENT FORGERY / STOLEN FELONY,theft
DOCUMENT WORTHLESS ($200 & UNDER),fraud
DOCUMENT WORTHLESS ($200.01 & OVER),fraud
DRIVING WITHOUT OWNER CONSENT (DWOC),VEHICLE
"DRUGS, TO A MINOR",CHILD
DRUNK ROLL,theft
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",theft
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",theft
EXTORTION,fraud
FAILURE TO DISPERSE,OTHER
FAILURE TO YIELD,OTHER
FALSE IMPRISONMENT,OTHER
FALSE POLICE REPORT,OTHER
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),OTHER
FIREARMS RESTRAINING ORDER (FIREARMS RO),OTHER
GRAND THEFT / AUTO REPAIR,theft
GRAND THEFT / INSURANCE FRAUD,fraud
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,SEX
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,SEX
ILLEGAL DUMPING,VANDALISM
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),SEX
INCITING A RIOT,OTHER
INDECENT EXPOSURE,SEX
INTIMATE PARTNER - AGGRAVATED ASSAULT,VIOLENT
INTIMATE PARTNER - SIMPLE ASSAULT,VIOLENT
KIDNAPPING,VIOLENT
KIDNAPPING - GRAND ATTEMPT,VIOLENT
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SEX
LEWD CONDUCT,SEX
LEWD/LASCIVIOUS ACTS WITH CHILD,CHILD
LYNCHING,VIOLENT
LYNCHING - ATTEMPTED,VIOLENT
"MANSLAUGHTER, NEGLIGENT",Homicide
ORAL COPULATION,SEX
OTHER ASSAULT,VIOLENT
OTHER MISCELLANEOUS CRIME,OTHER
PANDERING,OTHER
PEEPING TOM,SEX
PETTY THEFT - AUTO REPAIR,theft
PICKPOCKET,theft
"PICKPOCKET, ATTEMPT",theft
PIMPING,SEX
PROWLER,OTHER
PURSE SNATCHING,theft
PURSE SNATCHING - ATTEMPT,theft
"RAPE, ATTEMPTED",SEX
"RAPE, FORCIBLE",SEX
RECKLESS DRIVING,OTHER
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",OTHER
RESISTING ARREST,OTHER
ROBBERY,ROBBERY
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,SEX
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",SEX
SEXUAL PENETRATION W/FOREIGN OBJECT,SEX
SHOPLIFTING - ATTEMPT,theft
SHOPLIFTING - PETTY THEFT ($950 & UNDER),theft
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),theft
SHOTS FIRED AT INHABITED DWELLING,VIOLENT
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",VIOLENT
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,SEX
STALKING,VIOLENT
TELEPHONE PROPERTY - DAMAGE,VANDALISM
THEFT FROM MOTOR VEHICLE - ATTEMPT,theft
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),theft
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),theft
THEFT FROM PERSON - ATTEMPT,theft
THEFT OF IDENTITY,theft
THEFT PLAIN - ATTEMPT,theft
THEFT PLAIN - PETTY ($950 & UNDER),theft
"THEFT, COIN MACHINE - ATTEMPT",theft
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",theft
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",theft
"THEFT, PERSON",theft
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",theft
THREATENING PHONE CALLS/LETTERS,OTHER
THROWING OBJECT AT MOVING VEHICLE,VANDALISM
TILL TAP - GRAND THEFT ($950.01 & OVER),theft
TILL TAP - PETTY ($950 & UNDER),theft
TRAIN WRECKING,VANDALISM
TRESPASSING,VANDALISM
UNAUTHORIZED COMPUTER ACCESS,fraud
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",VANDALISM
VANDALISM - MISDEAMEANOR ($399 OR UNDER),VANDALISM
VEHICLE - ATTEMPT STOLEN,VEHICLE
VEHICLE - STOLEN,VEHICLE
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",VEHICLE
VIOLATION OF COURT ORDER,fraud
VIOLATION OF RESTRAINING ORDER,fraud
VIOLATION OF TEMPORARY RESTRAINING ORDER,fraud
WEAPONS POSSESSION/BOMBING,VIOLENT
